reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
4,4,2249,59,1,2,354.2364,458,0,,,,,,,,,,,,,,,,,
8,21,1011,692,9,1,3212.298,203,4,,,,,,,,,,,,,,,,,
5,10,2202,65,2,1,898.9475,595,6,,,,,,,,,,,,,,,,,
3,5,368,186,2,4,215.6747,328,0,,,,,,,,,,,,,,,,,
4,5,470,247,2,3,68.20806,93,0,,,,,,,,,,,,,,,,,
4,11,3516,284,2,3,330.7767,169,2,,,,,,,,,,,,,,,,,
3,3,203,461,2,2,1938.766,301,0,,,,,,,,,,,,,,,,,
10,43,8208,355,9,2,1583.769,429,32,,,,,,,,,,,,,,,,,
2,2,433,280,2,11,207.9336,174,0,,,,,,,,,,,,,,,,,
1,4,117,428,1,8,119.8683,109,0,,,,,,,,,,,,,,,,,
0,2,45,317,1,8,119.3147,109,0,,,,,,,,,,,,,,,,,
2,5,261,152,2,5,1029.759,236,10,,,,,,,,,,,,,,,,,
2,3,51,146,2,8,17.85278,123,0,,,,,,,,,,,,,,,,,
3,3,51,249,2,9,16.94556,123,0,,,,,,,,,,,,,,,,,
0,2,51,186,1,11,145.9219,78,0,,,,,,,,,,,,,,,,,
4,21,1188,725,8,6,74.17083,319,31,,,,,,,,,,,,,,,,,
1,1,22,339,1,7,0.136389,95,0,,,,,,,,,,,,,,,,,
6,34,6651,706,18,3,2575.916,537,11,,,,,,,,,,,,,,,,,
2,4,275,24,2,8,23.31417,360,1,,,,,,,,,,,,,,,,,
6,6,318,236,2,1,297.7975,129,4,,,,,,,,,,,,,,,,,
3,6,866,679,4,18,543.4283,754,8,,,,,,,,,,,,,,,,,
5,12,824,61,3,13,193.2431,211,0,,,,,,,,,,,,,,,,,
10,68,6186,545,14,15,706.6106,209,53,,,,,,,,,,,,,,,,,
0,1,22,167,1,5,0.857778,154,0,,,,,,,,,,,,,,,,,
2,6,164,320,3,2,307.3458,292,2,,,,,,,,,,,,,,,,,
3,4,152,482,3,5,570.1433,294,5,,,,,,,,,,,,,,,,,
2,6,286,140,4,6,350.1056,255,11,,,,,,,,,,,,,,,,,
0,2,100,39,1,3,367.5214,213,0,,,,,,,,,,,,,,,,,
3,5,506,1232,1,42,348.4431,132,0,,,,,,,,,,,,,,,,,
4,9,1492,109,3,4,556.1908,486,0,,,,,,,,,,,,,,,,,
1,9,361,1920,7,39,858.8831,548,0,,,,,,,,,,,,,,,,,
5,7,388,142,2,5,268.8378,416,2,,,,,,,,,,,,,,,,,
4,23,1121,2980,13,20,752.9439,450,4,,,,,,,,,,,,,,,,,
1,3,225,27,1,2,408.1175,270,4,,,,,,,,,,,,,,,,,
2,3,542,904,1,17,22.995,122,0,,,,,,,,,,,,,,,,,
